symbol,companyName
CPRT,"Copart, Inc. (DE) Common Stock"
COST,Costco Wholesale Corporation Common Stock
AAPL,Apple Inc. Common Stock
AMGN,Amgen Inc. Common Stock
CMCSA,Comcast Corporation Class A Common Stock
INTC,Intel Corporation Common Stock
KLAC,KLA Corporation Common Stock
PCAR,PACCAR Inc. Common Stock
CTAS,Cintas Corporation Common Stock
PAYX,"Paychex, Inc. Common Stock"
LRCX,Lam Research Corporation Common Stock
ADSK,"Autodesk, Inc. Common Stock"
ROST,"Ross Stores, Inc. Common Stock"
MNST,Monster Beverage Corporation
MSFT,Microsoft Corporation Common Stock
ADBE,Adobe Inc. Common Stock
FAST,Fastenal Company Common Stock
EA,Electronic Arts Inc. Common Stock
CSCO,"Cisco Systems, Inc. Common Stock (DE)"
REGN,"Regeneron Pharmaceuticals, Inc. Common Stock"
IDXX,"IDEXX Laboratories, Inc. Common Stock"
VRTX,Vertex Pharmaceuticals Incorporated Common Stock
BIIB,Biogen Inc. Common Stock
ODFL,"Old Dominion Freight Line, Inc. Common Stock"
QCOM,QUALCOMM Incorporated Common Stock
GILD,"Gilead Sciences, Inc. Common Stock"
SNPS,"Synopsys, Inc. Common Stock"
SBUX,Starbucks Corporation Common Stock
SIRI,Sirius XM Holdings Inc. Common Stock
INTU,Intuit Inc. Common Stock
MCHP,Microchip Technology Incorporated Common Stock
ORLY,"O'Reilly Automotive, Inc. Common Stock"
DLTR,Dollar Tree Inc. Common Stock
ASML,ASML Holding N.V. New York Registry Shares
ANSS,"ANSYS, Inc. Common Stock"
TTWO,"Take-Two Interactive Software, Inc. Common Stock"
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock
CSGP,"CoStar Group, Inc. Common Stock"
NVDA,NVIDIA Corporation Common Stock
BKNG,Booking Holdings Inc. Common Stock
ON,ON Semiconductor Corporation Common Stock
ISRG,"Intuitive Surgical, Inc. Common Stock"
MRVL,"Marvell Technology, Inc. Common Stock"
ILMN,"Illumina, Inc. Common Stock"
ADI,"Analog Devices, Inc. Common Stock"
AEP,"American Electric Power Company, Inc. Common Stock"
AMD,"Advanced Micro Devices, Inc. Common Stock"
CDNS,"Cadence Design Systems, Inc. Common Stock"
CSX,CSX Corporation Common Stock
HON,Honeywell International Inc. Common Stock
MU,"Micron Technology, Inc. Common Stock"
XEL,Xcel Energy Inc. Common Stock
EXC,Exelon Corporation Common Stock
PEP,"PepsiCo, Inc. Common Stock"
ROP,"Roper Technologies, Inc. Common Stock"
TXN,Texas Instruments Incorporated Common Stock
WBA,"Walgreens Boots Alliance, Inc. Common Stock"
MDLZ,"Mondelez International, Inc. Class A Common Stock"
NFLX,"Netflix, Inc. Common Stock"
GOOGL,Alphabet Inc. Class A Common Stock
DXCM,"DexCom, Inc. Common Stock"
TMUS,"T-Mobile US, Inc. Common Stock"
MELI,"MercadoLibre, Inc. Common Stock"
AVGO,Broadcom Inc. Common Stock
VRSK,"Verisk Analytics, Inc. Common Stock"
FTNT,"Fortinet, Inc. Common Stock"
CHTR,"Charter Communications, Inc. Class A Common Stock New"
TSLA,"Tesla, Inc. Common Stock"
NXPI,NXP Semiconductors N.V. Common Stock
FANG,"Diamondback Energy, Inc. Common Stock"
META,"Meta Platforms, Inc. Class A Common Stock"
PANW,"Palo Alto Networks, Inc. Common Stock"
WDAY,"Workday, Inc. Class A Common Stock"
CDW,CDW Corporation Common Stock
GOOG,Alphabet Inc. Class C Capital Stock
PYPL,"PayPal Holdings, Inc. Common Stock"
KHC,The Kraft Heinz Company Common Stock
TEAM,Atlassian Corporation Class A Common Stock
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares
BKR,Baker Hughes Company Class A Common Stock
MDB,"MongoDB, Inc. Class A Common Stock"
ZS,"Zscaler, Inc. Common Stock"
PDD,PDD Holdings Inc. American Depositary Shares
MRNA,"Moderna, Inc. Common Stock"
CRWD,"CrowdStrike Holdings, Inc. Class A Common Stock"
DDOG,"Datadog, Inc. Class A Common Stock"
KDP,Keurig Dr Pepper Inc. Common Stock
GFS,GlobalFoundries Inc. Ordinary Shares
TTD,"The Trade Desk, Inc. Class A Common Stock"
DASH,"DoorDash, Inc. Class A Common Stock"
CEG,Constellation Energy Corporation Common Stock 
GEHC,GE HealthCare Technologies Inc. Common Stock 
AMZN,"Amazon.com, Inc. Common Stock"
ABNB,"Airbnb, Inc. Class A Common Stock"
AMAT,"Applied Materials, Inc. Common Stock"
LIN,Linde plc Ordinary Shares
AZN,AstraZeneca PLC American Depositary Shares
LULU,lululemon athletica inc. Common Stock
WBD,"Warner Bros. Discovery, Inc. Series A Common Stock "
ADP,"Automatic Data Processing, Inc. Common Stock"
MAR,Marriott International Class A Common Stock
