Strategy,Ticker,Sharpe,Return,Value_s,Value_e,SLVL_mean,Stop count
DRL,CPRT,0.9542749907150919,64.40050062647605,371.82498931884766,611.2821438945266,1.589264413518887,86
B&H,CPRT,0.35316820528319026,23.76777728076689,371.82498931884766,460.1995246543866,,0
FixedSL_0.10,CPRT,0.495958311036142,37.33147057832555,371.82498931884766,510.63272580927537,0.1,32
TrailingSL_0.10,CPRT,1.1375871498563266,33.435287941530724,371.82498931884766,496.14574513617026,0.1,258
FixedSL_0.30,CPRT,0.1582883325762206,-1.3220530927584795,371.82498931884766,366.90926554790894,0.30000000000000004,38
TrailingSL_0.30,CPRT,0.10791584812650916,-0.13377006850517903,371.82498931884766,371.32759877591644,0.30000000000000004,238
FixedSL_0.50,CPRT,0.13875677680126242,-3.89594220264855,371.82498931884766,357.3389026399812,0.5000000000000001,40
TrailingSL_0.50,CPRT,0.19683427890961408,6.161482305901633,371.82498931884766,394.7349202446491,0.5000000000000001,212
FixedSL_0.70,CPRT,0.3795732431723996,25.62300456829618,371.82498931884766,467.0977233180828,0.7000000000000001,31
TrailingSL_0.70,CPRT,0.1313806976549268,-0.06693593993460922,371.82498931884766,371.5761047673353,0.7000000000000001,195
FixedSL_0.90,CPRT,0.38146766059229675,25.767088247280846,371.82498931884766,467.6334624420777,0.9000000000000001,30
TrailingSL_0.90,CPRT,0.5152966979296787,32.15047578005379,371.82498931884766,491.3684924539914,0.9000000000000001,172
FixedSL_1.10,CPRT,0.3523288106701889,22.641139668249323,371.82498931884766,456.0104044719811,1.1000000000000003,29
TrailingSL_1.10,CPRT,0.24597886694903984,10.520791401354535,371.82498931884766,410.9439208231924,1.1000000000000003,147
FixedSL_1.30,CPRT,0.38902253036175954,26.65878265444359,371.82498931884766,470.9490050762673,1.3000000000000003,24
TrailingSL_1.30,CPRT,0.3416743111432023,19.330515168385553,371.82498931884766,443.7006752789755,1.3000000000000003,131
FixedSL_1.50,CPRT,0.4665277644681935,34.50469867700463,371.82498931884766,500.12208148912066,1.5000000000000004,18
TrailingSL_1.50,CPRT,0.4836204150996176,34.16602837978666,371.82498931884766,498.8628206926639,1.5000000000000004,109
FixedSL_1.70,CPRT,0.4360778224298829,31.464178546050125,371.82498931884766,488.8166678369617,1.7000000000000004,18
TrailingSL_1.70,CPRT,0.6707113486848516,47.077409303930985,371.82498931884766,546.8705614347792,1.7000000000000004,87
FixedSL_1.90,CPRT,0.4055965828756269,28.338420388196294,371.82498931884766,477.1943179003887,1.9000000000000004,18
TrailingSL_1.90,CPRT,0.6274677028777267,44.455495828591516,371.82498931884766,537.1216319351488,1.9000000000000004,75
DRL,COST,0.2229880728491367,7.324049403157606,5415.001220703125,5811.598585289009,1.6174950298210737,66
B&H,COST,0.43850566320930223,29.46790531600896,5415.001220703125,7010.688653280651,,0
FixedSL_0.10,COST,0.44790554366143054,27.714745735428338,5415.001220703125,6915.755040591336,0.1,20
TrailingSL_0.10,COST,0.16526274598447302,3.5150749868197995,5415.001220703125,5605.342574148047,0.1,256
FixedSL_0.30,COST,0.5018705692909203,32.10756546212954,5415.001220703125,7153.626282415495,0.30000000000000004,15
TrailingSL_0.30,COST,0.21045598586329947,6.527279517911255,5415.001220703125,5768.453486276724,0.30000000000000004,235
FixedSL_0.50,COST,0.47854891371240627,30.36038064005737,5415.001220703125,7059.016202972347,0.5000000000000001,14
TrailingSL_0.50,COST,0.3004668873605723,12.668133808273208,5415.001220703125,6100.980821061425,0.5000000000000001,209
FixedSL_0.70,COST,0.673248774874572,44.32210586327694,5415.001220703125,7815.043794240903,0.7000000000000001,8
TrailingSL_0.70,COST,0.29031495240061156,11.68490924972241,5415.001220703125,6047.739199213645,0.7000000000000001,179
FixedSL_0.90,COST,0.6848952276063289,45.685886821718015,5415.001220703125,7888.892549788204,0.9000000000000001,6
TrailingSL_0.90,COST,0.5213456835669776,25.402375969820735,5415.001220703125,6790.5401895565155,0.9000000000000001,157
FixedSL_1.10,COST,0.6729032993990387,44.92869367789398,5415.001220703125,7847.890531807052,1.1000000000000003,6
TrailingSL_1.10,COST,0.31755941369290175,14.649890470199356,5415.001220703125,6208.292968496091,1.1000000000000003,134
FixedSL_1.30,COST,0.6606109852245993,44.14284664482921,5415.001220703125,7805.336905373735,1.3000000000000003,6
TrailingSL_1.30,COST,0.41544918230397904,18.27148043774567,5415.001220703125,6404.402109447586,1.3000000000000003,113
FixedSL_1.50,COST,0.6353582554548359,42.49636920872908,5415.001220703125,7716.180132110311,1.5000000000000004,6
TrailingSL_1.50,COST,0.3703062805415052,17.968781477701846,5415.001220703125,6388.010957066157,1.5000000000000004,91
FixedSL_1.70,COST,0.6160159722763425,41.20464818372722,5415.001220703125,7646.2334228383825,1.7000000000000004,6
TrailingSL_1.70,COST,0.44184712641419566,24.003269324067332,5415.001220703125,6714.77854761003,1.7000000000000004,70
FixedSL_1.90,COST,0.5972160191308672,39.92231155973791,5415.001220703125,7576.794878995837,1.9000000000000004,6
TrailingSL_1.90,COST,0.5999781421460595,33.089928086210094,5415.001220703125,7206.8212305011875,1.9000000000000004,54
DRL,AAPL,0.7741459660761798,37.293091148806965,1778.2447814941406,2441.407228705654,1.5834990059642151,72
B&H,AAPL,0.4479289074526814,30.92238098194915,1778.2447814941406,2328.120407619388,,0
FixedSL_0.10,AAPL,0.4694929387351024,31.9981685913012,1778.2447814941406,2347.250544642651,0.1,19
TrailingSL_0.10,AAPL,-0.08411659248350034,-5.770992215870196,1778.2447814941406,1675.6224135749958,0.1,256
FixedSL_0.30,AAPL,0.44403182223332055,29.38890599567614,1778.2447814941406,2300.8514687004704,0.30000000000000004,19
TrailingSL_0.30,AAPL,-0.05992936855048438,-6.565097970446299,1778.2447814941406,1661.5012694347015,0.30000000000000004,230
FixedSL_0.50,AAPL,0.5668201114250807,39.71818135159664,1778.2447814941406,2484.5312686832867,0.5000000000000001,11
TrailingSL_0.50,AAPL,4.664618488045689,67.55378756953311,1778.2447814941406,2979.5164836510007,0.5000000000000001,205
FixedSL_0.70,AAPL,0.49054559755867977,33.2922422744377,1778.2447814941406,2370.2623423817154,0.7000000000000001,12
TrailingSL_0.70,AAPL,3.506794982073761,59.56854741144046,1778.2447814941406,2837.5193672499436,0.7000000000000001,188
FixedSL_0.90,AAPL,0.5384662175027219,36.74974501778274,1778.2447814941406,2431.7452044852653,0.9000000000000001,8
TrailingSL_0.90,AAPL,1.4896009709219393,75.86366825613864,1778.2447814941406,3127.286503308953,0.9000000000000001,154
FixedSL_1.10,AAPL,0.5205360185907703,35.019445097612014,1778.2447814941406,2400.976236450632,1.1000000000000003,8
TrailingSL_1.10,AAPL,0.623544946666533,41.47113012621002,1778.2447814941406,2515.702988790115,1.1000000000000003,130
FixedSL_1.30,AAPL,0.5027905296392167,33.307944551294376,1778.2447814941406,2370.541567300495,1.3000000000000003,8
TrailingSL_1.30,AAPL,1.0647590895383228,55.826508190549795,1778.2447814941406,2770.976750082991,1.3000000000000003,109
FixedSL_1.50,AAPL,0.48523128919085595,31.615072865099304,1778.2447814941406,2340.438164883339,1.5000000000000004,8
TrailingSL_1.50,AAPL,1.5019413566538904,75.22521039208448,1778.2447814941406,3115.9331596593706,1.5000000000000004,94
FixedSL_1.70,AAPL,0.4771065606022177,31.438125072571044,1778.2447814941406,2337.2915999967363,1.7000000000000004,7
TrailingSL_1.70,AAPL,1.6390937493643591,88.38295949327855,1778.2447814941406,3349.9101464134465,1.7000000000000004,80
FixedSL_1.90,AAPL,0.46185170664027286,30.004095265309317,1778.2447814941406,2311.791039784034,1.9000000000000004,7
TrailingSL_1.90,AAPL,1.1344374000065292,84.89064930927799,1778.2447814941406,3287.808322812868,1.9000000000000004,66
DRL,AMGN,1.3526991726320523,6.024419952335158,2093.2728576660156,2219.3804053600634,1.6797216699801194,60
B&H,AMGN,3.2321364527608236,49.663882383977345,2093.2728576660156,3132.873427672987,,0
FixedSL_0.10,AMGN,3.22686781637891,44.852104100731374,2093.2728576660156,3032.1497788987313,0.1,6
TrailingSL_0.10,AMGN,-0.6385622927017103,-21.972237913558125,2093.2728576660156,1633.3339651997017,0.1,255
FixedSL_0.30,AMGN,2.885618367810786,43.54730035948684,2093.2728576660156,3004.836676337449,0.30000000000000004,6
TrailingSL_0.30,AMGN,-0.58486821392274,-21.6080470186351,2093.2728576660156,1640.9574743532164,0.30000000000000004,239
FixedSL_0.50,AMGN,2.590472841861403,42.25191632546404,2093.2728576660156,2977.7207539507103,0.5000000000000001,6
TrailingSL_0.50,AMGN,-1.0144603792983165,-8.246931575732109,2093.2728576660156,1920.642077400927,0.5000000000000001,213
FixedSL_0.70,AMGN,2.6502961937802336,42.827149547307755,2093.2728576660156,2989.761954851843,0.7000000000000001,5
TrailingSL_0.70,AMGN,-0.026142747102085157,-0.6079309275747957,2093.2728576660156,2080.5472045657352,0.7000000000000001,191
FixedSL_0.90,AMGN,2.967209271352198,44.1855198290978,2093.2728576660156,3018.196351267155,0.9000000000000001,3
TrailingSL_0.90,AMGN,3.5932427775682103,8.138099737495219,2093.2728576660156,2263.6254906007925,0.9000000000000001,162
FixedSL_1.10,AMGN,2.8400255072070237,43.66352626769399,2093.2728576660156,3007.269601727525,1.1000000000000003,3
TrailingSL_1.10,AMGN,0.9021700373221591,7.520750684492361,2093.2728576660156,2250.702690437225,1.1000000000000003,133
FixedSL_1.30,AMGN,2.7088815749312505,43.093387594585764,2093.2728576660156,2995.3350436322935,1.3000000000000003,3
TrailingSL_1.30,AMGN,1.1957277680682594,8.015275348424368,2093.2728576660156,2261.0544410017783,1.3000000000000003,114
FixedSL_1.50,AMGN,2.5416017212437367,42.31244520955764,2093.2728576660156,2978.98778865249,1.5000000000000004,3
TrailingSL_1.50,AMGN,1.2851394589934833,8.903168034924146,2093.2728576660156,2279.6404576134796,1.5000000000000004,84
FixedSL_1.70,AMGN,2.3880576258719186,41.53434935673048,2093.2728576660156,2962.7001193586343,1.7000000000000004,3
TrailingSL_1.70,AMGN,2.0045813273219553,17.506784517351836,2093.2728576660156,2459.737626217818,1.7000000000000004,65
FixedSL_1.90,AMGN,2.4831357499471154,41.57416585683629,2093.2728576660156,2963.5335873482218,1.9000000000000004,2
TrailingSL_1.90,AMGN,2.77650440180227,24.29623545795778,2093.2728576660156,2601.8593599420724,1.9000000000000004,48
DRL,CMCSA,0.07233058194307954,0.5319635595703698,471.00616455078125,473.5117457095215,1.6447316103379725,78
B&H,CMCSA,-0.07140660689356829,-13.082860022224718,471.00616455078125,409.3850873465531,,0
FixedSL_0.10,CMCSA,-0.04442447877079007,-12.852301709788305,471.00616455078125,410.47103121101287,0.1,65
TrailingSL_0.10,CMCSA,1.1429474167038545,34.63980025621034,471.00616455078125,634.1617591456093,0.1,254
FixedSL_0.30,CMCSA,-0.09947769770506291,-18.360328895035117,471.00616455078125,384.52788362336753,0.30000000000000004,59
TrailingSL_0.30,CMCSA,-0.02600850874838564,-7.434263535314434,471.00616455078125,435.9903250104994,0.30000000000000004,232
FixedSL_0.50,CMCSA,-0.01750734311062568,-9.268863868722532,471.00616455078125,427.34924434527807,0.5000000000000001,42
TrailingSL_0.50,CMCSA,-0.23326950151581566,-27.40528705008223,471.00616455078125,341.925573132057,0.5000000000000001,217
FixedSL_0.70,CMCSA,-0.05245189671189708,-10.933089029761678,471.00616455078125,419.5106412447785,0.7000000000000001,39
TrailingSL_0.70,CMCSA,-0.06531215870365237,-13.23657320071474,471.00616455078125,408.66108880013815,0.7000000000000001,195
FixedSL_0.90,CMCSA,-0.051736584874937604,-11.221805438382537,471.00616455078125,418.15076916210467,0.9000000000000001,36
TrailingSL_0.90,CMCSA,-0.29224108160298945,-22.804860719391396,471.00616455078125,363.59386474522813,0.9000000000000001,172
FixedSL_1.10,CMCSA,-0.0842472366662714,-13.520070446351562,471.00616455078125,407.32579929685704,1.1000000000000003,34
TrailingSL_1.10,CMCSA,-0.08718387625293482,-10.074256328542063,471.00616455078125,423.5557962107009,1.1000000000000003,148
FixedSL_1.30,CMCSA,0.05454097881841776,-2.2214139992876802,471.00616455078125,460.5431676739422,1.3000000000000003,29
TrailingSL_1.30,CMCSA,0.004442581963667156,-5.5972881845906315,471.00616455078125,444.64259215368685,1.3000000000000003,122
FixedSL_1.50,CMCSA,-0.06581704880738587,-11.75705550158128,471.00616455078125,415.62970836867663,1.5000000000000004,30
TrailingSL_1.50,CMCSA,0.08362163197342935,-0.15997820349875624,471.00616455078125,470.25265735036453,1.5000000000000004,104
FixedSL_1.70,CMCSA,0.05356058586992287,-2.2415851876665727,471.00616455078125,460.4481601332145,1.7000000000000004,24
TrailingSL_1.70,CMCSA,0.08027052197962492,-0.35005441698056083,471.00616455078125,469.35738666752053,1.7000000000000004,88
FixedSL_1.90,CMCSA,-0.10624063766293086,-12.819208164555873,471.00616455078125,410.62690384912605,1.9000000000000004,26
TrailingSL_1.90,CMCSA,0.20670511309927542,6.803522413446483,471.00616455078125,503.05117452470824,1.9000000000000004,69
DRL,INTC,0.17147599591560234,-2.4990139044122173,484.7818756103515,472.6671091327785,1.4049701789264417,122
B&H,INTC,0.2901660318967346,6.815222090447914,484.7818756103515,517.820837087436,,0
FixedSL_0.10,INTC,0.2355406173750725,-1.3067407690964816,484.7818756103515,478.44703320056044,0.1,70
TrailingSL_0.10,INTC,-0.19462392493643907,-26.953775808173084,484.7818756103515,354.11485569968085,0.1,256
FixedSL_0.30,INTC,0.17161761709281195,-10.46658398538125,484.7818756103515,434.0417734536876,0.30000000000000004,76
TrailingSL_0.30,INTC,0.167040438825869,-2.5165324761832197,484.7818756103515,472.5821822719669,0.30000000000000004,245
FixedSL_0.50,INTC,0.15610524226877115,-13.130641656715747,484.7818756103515,421.1269047072508,0.5000000000000001,72
TrailingSL_0.50,INTC,0.1102159535737855,-8.925205043884354,484.7818756103515,441.51409919653923,0.5000000000000001,231
FixedSL_0.70,INTC,0.12608257329890324,-19.438805468795483,484.7818756103515,390.54606986247717,0.7000000000000001,72
TrailingSL_0.70,INTC,0.3168706732847565,16.903433403679458,484.7818756103515,566.7266571072555,0.7000000000000001,222
FixedSL_0.90,INTC,0.15811287944140406,-13.803122089496888,484.7818756103515,417.86684145210177,0.9000000000000001,62
TrailingSL_0.90,INTC,0.28779804365104933,11.09758893580226,484.7818756103515,538.5809754008606,0.9000000000000001,196
FixedSL_1.10,INTC,0.24944570304111616,3.8904397231369403,484.7818756103515,503.64202226966495,1.1000000000000003,47
TrailingSL_1.10,INTC,0.28376251742026404,12.202831705232086,484.7818756103515,543.9389920285503,1.1000000000000003,179
FixedSL_1.30,INTC,0.2567613703174071,3.3381582822533895,484.7818756103515,500.9646619419018,1.3000000000000003,43
TrailingSL_1.30,INTC,0.22797670938741485,-1.3292252036954166,484.7818756103515,478.3380327367914,1.3000000000000003,169
FixedSL_1.50,INTC,0.24558094300604483,0.625902361508035,484.7818756103515,487.81613681795966,1.5000000000000004,41
TrailingSL_1.50,INTC,0.21832472701458266,-0.9822388003976057,484.7818756103515,480.02015993081136,1.5000000000000004,151
FixedSL_1.70,INTC,0.25355958326226413,1.4979171479305275,484.7818756103515,492.0435064551782,1.7000000000000004,35
TrailingSL_1.70,INTC,0.23915351214729283,3.0672223172174107,484.7818756103515,499.6512134888973,1.7000000000000004,133
FixedSL_1.90,INTC,0.2728261661088588,6.111404777436147,484.7818756103515,514.4088583165471,1.9000000000000004,32
TrailingSL_1.90,INTC,0.30847580760313126,15.253669323391318,484.7818756103515,558.7288998556887,1.9000000000000004,113
DRL,KLAC,1.1759564510301703,191.68942939823097,4283.459777832031,12494.399384460983,1.365009940357853,128
B&H,KLAC,0.5772496652065388,48.203407925831,4283.459777832031,6348.233367879299,,0
FixedSL_0.10,KLAC,0.18501914392894372,0.08776062957742692,4283.459777832031,4287.2189691007525,0.1,45
TrailingSL_0.10,KLAC,1.3948006560342268,50.22009683350714,4283.459777832031,6434.617426083607,0.1,259
FixedSL_0.30,KLAC,0.33265538649067705,20.09886588669403,4283.459777832031,5144.386613888973,0.30000000000000004,33
TrailingSL_0.30,KLAC,0.6962103156156247,33.63303772762445,4283.459777832031,5724.117420957897,0.30000000000000004,246
FixedSL_0.50,KLAC,0.21093157783033872,4.6661636690177755,4283.459777832031,4483.333021762219,0.5000000000000001,37
TrailingSL_0.50,KLAC,1.626069499346195,52.419808753766105,4283.459777832031,6528.841201416077,0.5000000000000001,231
FixedSL_0.70,KLAC,0.20206131203410088,3.7744017453194223,4283.459777832031,4445.134758446578,0.7000000000000001,39
TrailingSL_0.70,KLAC,0.6684551497155705,30.496045427144036,4283.459777832031,5589.745617533131,0.7000000000000001,218
FixedSL_0.90,KLAC,0.2610816680702585,11.135411629144375,4283.459777832031,4760.440656062461,0.9000000000000001,34
TrailingSL_0.90,KLAC,0.9846879209379835,36.06849182824181,4283.459777832031,5828.439117765402,0.9000000000000001,203
FixedSL_1.10,KLAC,0.5070473105293002,38.6227358295687,4283.459777832031,5937.849132189927,1.1000000000000003,25
TrailingSL_1.10,KLAC,1.256897777190847,77.48004134383962,4283.459777832031,7602.28618464303,1.1000000000000003,191
FixedSL_1.30,KLAC,0.4628213288830704,34.246357161217425,4283.459777832031,5750.388712205479,1.3000000000000003,25
TrailingSL_1.30,KLAC,0.9329880330576029,39.68498629026818,4283.459777832031,5983.350203413825,1.3000000000000003,176
FixedSL_1.50,KLAC,0.697769839767605,55.415354011492155,4283.459777832031,6657.154177657527,1.5000000000000004,16
TrailingSL_1.50,KLAC,0.8253124730822032,59.25981620771845,4283.459777832031,6821.8301695068385,1.5000000000000004,158
FixedSL_1.70,KLAC,0.6143958697298982,48.386014855663426,4283.459777832031,6356.055262270205,1.7000000000000004,17
TrailingSL_1.70,KLAC,1.2136913748083347,77.0250192902672,4283.459777832031,7582.7954979979895,1.7000000000000004,141
FixedSL_1.90,KLAC,0.5748022194261931,44.83400648727998,4283.459777832031,6203.906412505273,1.9000000000000004,17
TrailingSL_1.90,KLAC,1.2031850684976118,76.9221469824318,4283.459777832031,7578.389004069333,1.9000000000000004,131
DRL,PCAR,1.0419927654085923,33.062688560249455,522.0796585083008,694.6932300373142,1.6723658051689865,77
B&H,PCAR,1.0658637024774713,82.82640976175064,522.0796585083008,954.4994957471345,,0
FixedSL_0.10,PCAR,1.079639747417959,74.49889541560715,522.0796585083008,911.0232372865587,0.1,21
TrailingSL_0.10,PCAR,-0.3025622097967615,-6.710454373542618,522.0796585083008,487.04574123055414,0.1,258
FixedSL_0.30,PCAR,0.9547769359376271,67.61774855794829,522.0796585083008,875.0981692706387,0.30000000000000004,17
TrailingSL_0.30,PCAR,2.36165206476429,21.10746437362785,522.0796585083008,632.2774364298983,0.30000000000000004,237
FixedSL_0.50,PCAR,1.033693178094697,73.99536830339237,522.0796585083008,908.3944246586111,0.5000000000000001,14
TrailingSL_0.50,PCAR,5.086495437142981,16.816893471072312,522.0796585083008,609.8772385137798,0.5000000000000001,217
FixedSL_0.70,PCAR,1.0391093842925325,72.94379351588853,522.0796585083008,902.9043665990516,0.7000000000000001,13
TrailingSL_0.70,PCAR,2.1612156242437934,14.69509205534898,522.0796585083008,598.7997449283472,0.7000000000000001,196
FixedSL_0.90,PCAR,1.0353485392099924,73.03020036537522,522.0796585083008,903.3554791837796,0.9000000000000001,11
TrailingSL_0.90,PCAR,1.3417814812716542,13.071612412626287,522.0796585083008,590.3238879536688,0.9000000000000001,174
FixedSL_1.10,PCAR,0.9464739128823619,68.68835941369045,522.0796585083008,880.6876107702501,1.1000000000000003,9
TrailingSL_1.10,PCAR,2.511503722822568,21.28229330345195,522.0796585083008,633.1901827096976,1.1000000000000003,153
FixedSL_1.30,PCAR,0.9129342941281561,66.75645313463956,522.0796585083008,870.6015210658809,1.3000000000000003,9
TrailingSL_1.30,PCAR,1.993220148568219,29.195284805750575,522.0796585083008,674.5023017226893,1.3000000000000003,122
FixedSL_1.50,PCAR,0.8949149552588156,65.54420767709912,522.0796585083008,864.2726341208713,1.5000000000000004,9
TrailingSL_1.50,PCAR,1.1628611297010834,29.835260223156034,522.0796585083008,677.8434831964167,1.5000000000000004,102
FixedSL_1.70,PCAR,0.9109822628237252,66.193448232631,522.0796585083008,867.6621869960895,1.7000000000000004,8
TrailingSL_1.70,PCAR,1.3633329601811488,32.02652342856807,522.0796585083008,689.2836226562499,1.7000000000000004,85
